rankdate,1,2,3,4,5,LS,cons,Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1986-02,0.08579930107870141,0.07569027381254248,0.08513267409368767,0.0843575609173782,0.0695441694199058,-0.01625513165879562,0,198602,7.13,-0.71,-0.72,1.06,-1.2,0.53
1986-03,0.07794176631379165,0.05283847105966359,0.06040274447092415,0.06053856770196407,0.016208229276637474,-0.06173353703715418,0,198603,4.88,-0.66,-0.39,1.21,0.92,0.6
1986-04,0.003328900491802033,-0.0030029969596772296,-0.00242935034189018,-0.016453890997678425,-0.02291906078691077,-0.026247961278712803,0,198604,-1.31,2.84,-2.87,2.91,0.03,0.52
1986-05,0.04358727577987674,0.04751830661938714,0.07090039855218766,0.052695691882089224,0.041428827583204764,-0.0021584481966719776,0,198605,4.62,-1.29,-0.21,2.13,1.08,0.49
1986-06,0.03440971255530159,0.013986696327146638,0.025544101883817432,0.010385971099644262,-0.03471715362726098,-0.06912686618256257,0,198606,1.03,-0.89,1.28,1.8,0.87,0.52
1986-07,-0.00790482274578887,-0.06437105227783976,-0.061650086473531894,-0.07870721693077644,-0.1262256489291678,-0.11832082618337893,0,198607,-6.45,-3.46,4.7,-0.54,0.84,0.52
1986-08,0.07407021463655311,0.07264050863077061,0.07376322165170666,0.07950197865942078,0.10868070131455768,0.034610486678004565,0,198608,6.07,-4.35,3.51,-1.66,3.21,0.46
1986-09,-0.07890300287094977,-0.0925859641100946,-0.07762209252614527,-0.06538381125143448,-0.04582914857341224,0.03307385429753753,0,198609,-8.6,2.05,3.22,-0.08,3.71,0.45
1986-10,0.057806669794032685,0.05243399732861075,0.07313160424113987,0.06662559405461509,0.06798412923960388,0.010177459445571198,0,198610,4.66,-2.33,-1.42,-0.05,1.0,0.46
1986-11,0.021668339760086676,0.030105334290256806,0.017203585154874634,0.014246768061590545,0.015013130059976868,-0.006655209700109807,0,198611,1.17,-1.88,-0.07,1.09,0.67,0.39
1986-12,-0.026920423573718048,-0.023133220128487904,-0.02034249015269504,-0.02694746473588709,-0.037366908819949037,-0.010446485246230989,0,198612,-3.27,0.12,0.36,0.79,0.09,0.49
1987-01,0.12795371737512573,0.12447892054322168,0.16237326649399494,0.15304981281860192,0.1613925700400131,0.03343885266488736,0,198701,12.47,-1.54,-3.16,0.17,-1.0,0.42
1987-02,0.014958374400315742,0.06793856070800958,0.05643021212532823,0.0607384137104855,0.07257621538546191,0.05761784098514617,0,198702,4.39,3.4,-5.91,-0.76,-2.66,0.43
1987-03,0.016791829823986783,0.04745319511059199,0.026984053562120386,0.01567711923975046,0.03283752239622455,0.016045692572237764,0,198703,1.64,0.28,1.61,1.36,4.14,0.47
1987-04,-0.017355503542991698,7.285669237342635e-05,-0.0027186463834715,-0.027629377971476292,-0.024583771865265246,-0.007228268322273548,0,198704,-2.11,-1.54,-0.39,-0.49,1.05,0.44
1987-05,0.011875326092173216,0.010639076263306147,0.0006380196301670627,0.010890387129411459,0.024738881085267173,0.012863554993093957,0,198705,0.11,-0.56,0.23,0.51,1.14,0.38
1987-06,0.04805972134208223,0.051572010397673076,0.052800648017092486,0.044673017691671486,0.039826187624037473,-0.008233533718044757,0,198706,3.94,-2.21,1.04,1.7,0.84,0.48
1987-07,0.04983623505840878,0.039023410242522615,0.06053620823434367,0.03535011507686787,0.06010838660236024,0.01027215154395146,0,198707,3.85,-1.14,0.68,-0.61,1.61,0.46
1987-08,0.04464624736867743,0.05262843982111035,0.0487981252545064,0.03490448668767551,0.030718046575606214,-0.013928200793071215,0,198708,3.52,-0.94,-0.93,2.04,-1.61,0.47
1987-09,-0.01797323629747388,-0.019501505972070867,-0.011838269678769294,-0.028136777762449848,-0.009292611001603954,0.008680625295869925,0,198709,-2.59,0.38,0.27,-0.97,1.87,0.45
1987-10,-0.19373542650140477,-0.2324792600671602,-0.17409032827391338,-0.20654786538102532,-0.2661864528534467,-0.07245102635204195,0,198710,-23.24,-8.07,4.24,2.04,2.34,0.6
1987-11,-0.08029098226758204,-0.06323642460681166,-0.05647358192044548,-0.06120337379431242,-0.0628380591189114,0.01745292314867064,0,198711,-7.77,2.85,2.95,-1.88,0.68,0.35
1987-12,0.06976037382460648,0.08612275606018649,0.10106977292434646,0.10132878723261997,0.041297225089457344,-0.028463148735149137,0,198712,6.81,0.06,-4.43,2.96,-2.42,0.39
1988-01,0.0710575958945933,0.027051177554535472,0.014615966924623532,0.07647006891455248,0.12098036119540971,0.04992276530081641,0,198801,4.21,-0.51,5.01,-1.14,2.13,0.29
1988-02,0.03827948418677375,0.047128123805152904,0.07648640699637006,0.08434917884056235,0.08983194434931213,0.05155246016253838,0,198802,4.75,3.32,-1.71,1.56,-0.01,0.46
1988-03,-0.022402718739074717,-0.028467853504499853,-0.02665924782637219,-0.017204131075876324,-0.011145022101653853,0.011257696637420864,0,198803,-2.27,6.25,0.73,-0.25,1.8,0.44
1988-04,0.001245007206630864,0.022548712187795625,0.005414535432392945,0.0026796456782644472,0.017871570201823443,0.01662656299519258,0,198804,0.56,1.16,1.67,-0.2,1.92,0.46
1988-05,-0.001494378831626747,0.003772226583708453,0.009586388641533942,0.007068475821967556,0.04975873070872338,0.051253109540350124,0,198805,-0.29,-2.56,2.42,-0.74,0.33,0.51
1988-06,0.048105330949754936,0.06357853583437573,0.044929853250846905,0.0899701441209227,0.09119129731443126,0.04308596636467633,0,198806,4.79,2.16,-1.24,1.47,-3.37,0.49
