rankdate,1,2,3,4,5,LS,cons,Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1986-02,0.08171624908424908,0.0897693309352518,0.07440246969696969,0.06283828413284134,0.05267420220588235,-0.029042046878366735,0,198602,7.13,-0.71,-0.72,1.06,-1.2,0.53
1986-03,0.05588162393162393,0.05612850862068966,0.06007718181818183,0.041432588744588744,0.034263469298245613,-0.021618154633378316,0,198603,4.88,-0.66,-0.39,1.21,0.92,0.6
1986-04,-0.004382506122448979,0.008053516528925619,0.004082763713080168,0.0036986556016597514,0.0038704586776859475,0.008252964800134927,0,198604,-1.31,2.84,-2.87,2.91,0.03,0.52
1986-05,0.046921204545454544,0.04332316194331983,0.05256137890625,0.032491232558139536,0.026195703557312256,-0.020725500988142288,0,198605,4.62,-1.29,-0.21,2.13,1.08,0.49
1986-06,0.03229092391304348,0.01796630434782609,0.005190158844765343,-0.026514992727272726,-0.040434200729927004,-0.07272512464297048,0,198606,1.03,-0.89,1.28,1.8,0.87,0.52
1986-07,-0.030552877551020406,-0.06610223050847457,-0.08430189824561403,-0.08898688275862068,-0.12161840549828179,-0.09106552794726139,0,198607,-6.45,-3.46,4.7,-0.54,0.84,0.52
1986-08,0.04879738562091503,0.03986535197368422,0.057518815181518156,0.03557893092105263,0.034021983552631585,-0.014775402068283448,0,198608,6.07,-4.35,3.51,-1.66,3.21,0.46
1986-09,-0.08643196078431373,-0.07689643708609271,-0.07499842763157895,-0.0647652657807309,-0.04712003973509934,0.03931192104921439,0,198609,-8.6,2.05,3.22,-0.08,3.71,0.45
1986-10,0.04995775816993464,0.0617564238410596,0.05439187205387206,0.037828843333333334,0.02733983666666666,-0.022617921503267982,0,198610,4.66,-2.33,-1.42,-0.05,1.0,0.46
1986-11,0.013696782051282051,0.009650548494983277,0.009035402027027026,-0.001318514851485149,0.0021589401993355488,-0.011537841851946503,0,198611,1.17,-1.88,-0.07,1.09,0.67,0.39
1986-12,-0.0259800262295082,-0.02628610197368421,-0.02172663548387097,-0.02505143564356436,-0.03363220265780731,-0.007652176428299108,0,198612,-3.27,0.12,0.36,0.79,0.09,0.49
1987-01,0.10970456012658228,0.13107347249190937,0.12463858552631579,0.11858600000000001,0.12962759870550164,0.01992303857891936,0,198701,12.47,-1.54,-3.16,0.17,-1.0,0.42
1987-02,0.039427134615384614,0.0690399737704918,0.08161920655737706,0.07060290879478827,0.07267044701986755,0.03324331240448294,0,198702,4.39,3.4,-5.91,-0.76,-2.66,0.43
1987-03,0.015090825925925927,0.01571734082397004,0.016866958801498126,0.015668314606741573,0.037630731343283576,0.022539905417357647,0,198703,1.64,0.28,1.61,1.36,4.14,0.47
1987-04,-0.02827074558303887,-0.031730452631578955,-0.026589316725978647,-0.0355057738515901,-0.031092626811594207,-0.002821881228555336,0,198704,-2.11,-1.54,-0.39,-0.49,1.05,0.44
1987-05,0.004152186666666666,0.0006765676567656768,-0.0055722895622895615,-0.0032774155405405395,0.016333425675675674,0.012181239009009009,0,198705,0.11,-0.56,0.23,0.51,1.14,0.38
1987-06,0.04022592284866469,0.03872397289156627,0.04120089969604863,0.027609367469879516,0.0281459039039039,-0.012080018944760792,0,198706,3.94,-2.21,1.04,1.7,0.84,0.48
1987-07,0.042031653409090916,0.03816845614035087,0.037959285714285716,0.03657314492753624,0.029406563953488372,-0.012625089455602544,0,198707,3.85,-1.14,0.68,-0.61,1.61,0.46
1987-08,0.03727612356321839,0.039763330218068535,0.0437597874251497,0.03788241141141141,0.013547496969696966,-0.023728626593521422,0,198708,3.52,-0.94,-0.93,2.04,-1.61,0.47
1987-09,-0.017759405247813415,-0.01989598738170347,-0.024891981651376148,-0.029918353293413174,-0.020493359133126936,-0.002733953885313521,0,198709,-2.59,0.38,0.27,-0.97,1.87,0.45
1987-10,-0.24557550588235288,-0.2514962140672783,-0.2714101017964072,-0.310929,-0.32388149693251533,-0.07830599105016245,0,198710,-23.24,-8.07,4.24,2.04,2.34,0.6
